,id,route,direction,segment,volume,vcr,vcr_cat,geometry
37,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.38,,,,2000,0.5,Low,"MULTILINESTRING ((138.521403 -35.031883, 138.521352 -35.032436, 138.521136 -35.035423, 138.520946 -35.037948, 138.52084 -35.038508, 138.520752 -35.038818, 138.520613 -35.03911, 138.520428 -35.039448, 138.52012 -35.039848, 138.519995 -35.03998, 138.519611 -35.040352, 138.519454 -35.040492, 138.518723 -35.0411, 138.51852 -35.041276, 138.517992 -35.041716, 138.517631 -35.042024, 138.517406 -35.042227))"
38,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.39,,,,1000,0.2,Low,"MULTILINESTRING ((138.521403 -35.031883, 138.521419 -35.031632, 138.521441 -35.031302, 138.521458 -35.031113, 138.521474 -35.03096, 138.521514 -35.030357, 138.521626 -35.028818, 138.521716 -35.027648, 138.521711 -35.027107, 138.521694 -35.026935, 138.521618 -35.026555, 138.521446 -35.026083, 138.521384 -35.025946, 138.521068 -35.025347, 138.520845 -35.024925, 138.520616 -35.024506, 138.519693 -35.022783, 138.519516 -35.022348))"
39,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.40,,,,2000,0.6,Low,"MULTILINESTRING ((138.519516 -35.022348, 138.519693 -35.022783, 138.520616 -35.024506, 138.520845 -35.024925, 138.521068 -35.025347, 138.521384 -35.025946, 138.521446 -35.026083, 138.521618 -35.026555, 138.521694 -35.026935, 138.521711 -35.027107, 138.521716 -35.027648, 138.521626 -35.028818, 138.521514 -35.030357, 138.521474 -35.03096, 138.521458 -35.031113, 138.521441 -35.031302, 138.521419 -35.031632, 138.521403 -35.031883))"
40,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.41,,,,1000,0.2,Low,"MULTILINESTRING ((138.519516 -35.022348, 138.519307 -35.021784, 138.5191 -35.021032, 138.518968 -35.020299, 138.518885 -35.019431, 138.518865 -35.019026, 138.518887 -35.017935, 138.518954 -35.017152, 138.519057 -35.016659, 138.519312 -35.015835, 138.519605 -35.015146, 138.51992 -35.01454, 138.52024 -35.014087, 138.520907 -35.013424, 138.521365 -35.013109, 138.522 -35.012771, 138.522629 -35.012541, 138.522841 -35.012483))"
41,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.42,,,,2000,0.6,Low,"MULTILINESTRING ((138.522841 -35.012483, 138.522629 -35.012541, 138.522 -35.012771, 138.521365 -35.013109, 138.520907 -35.013424, 138.52024 -35.014087, 138.51992 -35.01454, 138.519605 -35.015146, 138.519312 -35.015835, 138.519057 -35.016659, 138.518954 -35.017152, 138.518887 -35.017935, 138.518865 -35.019026, 138.518885 -35.019431, 138.518968 -35.020299, 138.5191 -35.021032, 138.519307 -35.021784, 138.519516 -35.022348))"
42,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.43,,,,1000,0.2,Low,"MULTILINESTRING ((138.522841 -35.012483, 138.52304 -35.012431, 138.523636 -35.012308, 138.523823 -35.012276, 138.527213 -35.011759, 138.528225 -35.011626, 138.529313 -35.011544, 138.530173 -35.011486, 138.530585 -35.011475, 138.530848 -35.01146, 138.531401 -35.011438, 138.531801 -35.01142, 138.533435 -35.011343))"
43,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.44,,,,2000,0.6,Medium,"MULTILINESTRING ((138.533435 -35.011343, 138.531801 -35.01142, 138.531401 -35.011438, 138.530848 -35.01146, 138.530585 -35.011475, 138.530173 -35.011486, 138.529313 -35.011544, 138.528225 -35.011626, 138.527213 -35.011759, 138.523823 -35.012276, 138.523636 -35.012308, 138.52304 -35.012431, 138.522841 -35.012483))"
44,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.45,,,,1000,0.2,Low,"MULTILINESTRING ((138.533435 -35.011343, 138.534769 -35.01128, 138.535532 -35.011243, 138.536672 -35.011163, 138.537159 -35.011141, 138.537544 -35.011095, 138.538142 -35.010991, 138.538336 -35.010942, 138.538767 -35.010826, 138.539204 -35.010636, 138.539512 -35.010466, 138.539722 -35.01033, 138.540626 -35.009517, 138.540739 -35.00942))"
45,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.46,,,,3000,0.6,Medium,"MULTILINESTRING ((138.540739 -35.00942, 138.540626 -35.009517, 138.539722 -35.01033, 138.539512 -35.010466, 138.539204 -35.010636, 138.538767 -35.010826, 138.538336 -35.010942, 138.538142 -35.010991, 138.537544 -35.011095, 138.537159 -35.011141, 138.536672 -35.011163, 138.535532 -35.011243, 138.534769 -35.01128, 138.533435 -35.011343))"
46,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.47,,,,1000,0.2,Low,"MULTILINESTRING ((138.540739 -35.00942, 138.540987 -35.009182, 138.541111 -35.009067, 138.541213 -35.008971, 138.541833 -35.008381, 138.542328 -35.007911, 138.542464 -35.007796, 138.543174 -35.007117, 138.543277 -35.007001, 138.543591 -35.006738, 138.543931 -35.006402, 138.545092 -35.00529, 138.546615 -35.003842, 138.547087 -35.003428, 138.548015 -35.002706, 138.548149 -35.002602, 138.5487 -35.002173, 138.550515 -35.000769, 138.550798 -35.000539, 138.551192 -35.000239, 138.552222 -34.999423, 138.55249 -34.999227))"
47,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.48,,,,3000,0.7,Medium,"MULTILINESTRING ((138.55249 -34.999227, 138.552222 -34.999423, 138.551192 -35.000239, 138.550798 -35.000539, 138.550515 -35.000769, 138.5487 -35.002173, 138.548149 -35.002602, 138.548015 -35.002706, 138.547087 -35.003428, 138.546615 -35.003842, 138.545092 -35.00529, 138.543931 -35.006402, 138.543591 -35.006738, 138.543277 -35.007001, 138.543174 -35.007117, 138.542464 -35.007796, 138.542328 -35.007911, 138.541833 -35.008381, 138.541213 -35.008971, 138.541111 -35.009067, 138.540987 -35.009182, 138.540739 -35.00942))"
48,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.49,,,,1000,0.2,Low,"MULTILINESTRING ((138.55249 -34.999227, 138.553433 -34.998539, 138.553713 -34.998337, 138.555787 -34.99672, 138.556496 -34.996095, 138.556846 -34.995759, 138.557191 -34.995377, 138.557853 -34.994643, 138.560118 -34.992156, 138.560342 -34.99191, 138.561137 -34.991052))"
49,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.50,,,,3000,0.7,Medium,"MULTILINESTRING ((138.561137 -34.991052, 138.560342 -34.99191, 138.560118 -34.992156, 138.557853 -34.994643, 138.557191 -34.995377, 138.556846 -34.995759, 138.556496 -34.996095, 138.555787 -34.99672, 138.553713 -34.998337, 138.553433 -34.998539, 138.55249 -34.999227))"
50,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.51,,,,1000,0.2,Low,"MULTILINESTRING ((138.561137 -34.991052, 138.562008 -34.990093))"
51,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.52,,,,3000,0.7,Medium,"MULTILINESTRING ((138.562008 -34.990093, 138.561137 -34.991052))"
52,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.53,,,,1000,0.4,Low,"MULTILINESTRING ((138.566623 -35.001487, 138.566722 -35.001867, 138.566786 -35.002283, 138.566828 -35.002699, 138.566834 -35.003627, 138.567064 -35.006598, 138.567115 -35.007437))"
53,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.54,,,,1000,0.3,Low,"MULTILINESTRING ((138.567115 -35.007437, 138.567064 -35.006598, 138.566834 -35.003627, 138.566828 -35.002699, 138.566786 -35.002283, 138.566722 -35.001867, 138.566623 -35.001487))"
54,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.55,,,,1000,0.4,Low,"MULTILINESTRING ((138.567115 -35.007437, 138.567173 -35.008206, 138.567327 -35.010263, 138.567334 -35.010435, 138.567522 -35.011863, 138.567503 -35.012484, 138.567435 -35.012952, 138.567266 -35.013462, 138.56715 -35.013685, 138.566954 -35.014033, 138.566069 -35.015394, 138.565735 -35.015912))"
55,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.56,,,,1000,0.3,Low,"MULTILINESTRING ((138.565735 -35.015912, 138.566069 -35.015394, 138.566954 -35.014033, 138.56715 -35.013685, 138.567266 -35.013462, 138.567435 -35.012952, 138.567503 -35.012484, 138.567522 -35.011863, 138.567334 -35.010435, 138.567327 -35.010263, 138.567173 -35.008206, 138.567115 -35.007437))"
56,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.57,,,,2000,0.3,Low,"MULTILINESTRING ((138.567109 -34.983077, 138.56894 -34.979834, 138.570291 -34.977441, 138.570857 -34.976443, 138.571124 -34.975907, 138.571278 -34.975523, 138.571331 -34.975304, 138.571382 -34.974975, 138.571387 -34.974443, 138.571401 -34.973957, 138.571408 -34.973713, 138.571406 -34.973055, 138.57136 -34.972396, 138.57134 -34.972156))"
57,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.58,,,,4000,0.7,Medium,"MULTILINESTRING ((138.57134 -34.972156, 138.57136 -34.972396, 138.571406 -34.973055, 138.571408 -34.973713, 138.571401 -34.973957, 138.571387 -34.974443, 138.571382 -34.974975, 138.571331 -34.975304, 138.571278 -34.975523, 138.571124 -34.975907, 138.570857 -34.976443, 138.570291 -34.977441, 138.56894 -34.979834, 138.567109 -34.983077))"
58,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.59,,,,4000,0.7,Medium,"MULTILINESTRING ((138.567109 -34.983077, 138.566904 -34.983441, 138.566463 -34.98426, 138.566336 -34.984474, 138.565504 -34.985963, 138.564897 -34.986834, 138.564636 -34.987153, 138.564294 -34.987597, 138.562382 -34.989686, 138.562008 -34.990093))"
59,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.60,,,,2000,0.3,Low,"MULTILINESTRING ((138.562008 -34.990093, 138.562382 -34.989686, 138.564294 -34.987597, 138.564636 -34.987153, 138.564897 -34.986834, 138.565504 -34.985963, 138.566336 -34.984474, 138.566463 -34.98426, 138.566904 -34.983441, 138.567109 -34.983077))"
